Data,Balanço de pagamentos - balança comercial - saldo - US$ - Banco Central do Brasil- Balanço de Pagamentos (BPM6) (BCB / BP (BPM6)) - BPAG12_BC12,
2020.07,6536.929489685,
2020.08,4945.914433595,
2020.09,4364.62707251,
2020.10,3683.470650195,
2020.11,1685.030018805,
2020.12,-1939.38405184,
2021.01,-2604.70239749,
2021.02,-357.679205259999,
2021.03,-523.832268335002,
2021.04,8686.580854865,
2021.05,7426.114805395,
2021.06,7352.89436617499,
2021.07,6336.33682562,
2021.08,5741.20510848,
2021.09,2583.04463419,
2021.10,1302.520184045,
2021.11,-1307.075821,
